"Channel"           "Time, ns"          "Count"             "Error"             "Fit"               "Chi^2"             
2434                8.257884e-01        1.400000e+01        3.605551e+00        1.074525e+01        1.061684e+01        
2435                8.319510e-01        1.500000e+01        3.741657e+00        1.076037e+01        1.062331e+01        
2436                8.381136e-01        1.300000e+01        3.464102e+00        1.077645e+01        1.063021e+01        
2437                8.442762e-01        1.200000e+01        3.316625e+00        1.079357e+01        1.063757e+01        
2438                8.504388e-01        1.500000e+01        3.741657e+00        1.081176e+01        1.064542e+01        
2439                8.566014e-01        1.700000e+01        4.000000e+00        1.083111e+01        1.065378e+01        
2440                8.627640e-01        1.300000e+01        3.464102e+00        1.085166e+01        1.066268e+01        
2441                8.689266e-01        1.000000e+01        3.000000e+00        1.087350e+01        1.067217e+01        
2442                8.750892e-01        1.400000e+01        3.605551e+00        1.089670e+01        1.068226e+01        
2443                8.812518e-01        1.800000e+01        4.123106e+00        1.092133e+01        1.069301e+01        
2444                8.874144e-01        1.500000e+01        3.741657e+00        1.094747e+01        1.070445e+01        
2445                8.935770e-01        1.400000e+01        3.605551e+00        1.097521e+01        1.071661e+01        
2446                8.997396e-01        1.200000e+01        3.316625e+00        1.100464e+01        1.072955e+01        
2447                9.059022e-01        1.200000e+01        3.316625e+00        1.103584e+01        1.074330e+01        
2448                9.120648e-01        1.300000e+01        3.464102e+00        1.106893e+01        1.075791e+01        
2449                9.182274e-01        1.200000e+01        3.316625e+00        1.110399e+01        1.077343e+01        
2450                9.243900e-01        1.400000e+01        3.605551e+00        1.114114e+01        1.078992e+01        
2451                9.305526e-01        1.100000e+01        3.162278e+00        1.118049e+01        1.080744e+01        
2452                9.367152e-01        1.300000e+01        3.464102e+00        1.122216e+01        1.082602e+01        
2453                9.428778e-01        1.500000e+01        3.741657e+00        1.126627e+01        1.084575e+01        
2454                9.490404e-01        1.100000e+01        3.162278e+00        1.131295e+01        1.086666e+01        
2455                9.552030e-01        1.100000e+01        3.162278e+00        1.136234e+01        1.088886e+01        
2456                9.613656e-01        1.300000e+01        3.464102e+00        1.141457e+01        1.091240e+01        
2457                9.675282e-01        1.300000e+01        3.464102e+00        1.146979e+01        1.093733e+01        
2458                9.736908e-01        1.300000e+01        3.464102e+00        1.152816e+01        1.096377e+01        
2459                9.798534e-01        1.800000e+01        4.123106e+00        1.158984e+01        1.099175e+01        
2460                9.860160e-01        1.300000e+01        3.464102e+00        1.165499e+01        1.102140e+01        
