"Channel"           "Time, ns"          "Count"             "Error"             "Resolution"        "Fit"               "Chi^2"             
2650                2.15691             25658               160.178             30119.6             25372.8             -1.60515            
2651                2.16307             25242               158.874             29537.9             25497.8             -1.08826            
2652                2.16924             25416               159.421             28916.1             25590               0.349048            
2653                2.1754              25705               160.325             28257.2             25649.2             -2.03916            
2654                2.18156             25350               159.214             27564.4             25675.7             -0.546533           
2655                2.18772             25582               159.941             26841.2             25669.7             -0.48904            
2656                2.19389             25553               159.85              26090.9             25631.4             1.12715             
2657                2.20005             25742               160.44              25316.9             25561.7             -2.82955            
2658                2.20621             25012               158.149             24522.8             25460.9             -1.18215            
2659                2.21237             25142               158.559             23712.1             25330               -1.28129            
2660                2.21854             24967               158.006             22888.3             25170.1             -1.84311            
2661                2.2247              24691               157.131             22054.6             24981.5             -0.374483           
2662                2.23086             24707               157.181             21214.6             24766.1             -0.958695           
2663                2.23702             24374               156.119             20371.3             24524.2             -0.858208           
2664                2.24319             24124               155.316             19528               24257.7             -0.477556           
2665                2.24935             23894               154.574             18687.6             23968.1             -1.41234            
2666                2.25551             23439               153.095             17853.1             23655.9             -0.245154           
2667                2.26167             23286               152.594             17027               23323.5             -0.266076           
2668                2.26784             22931               151.427             16212               22971.4             -2.39846            
2669                2.274               22243               149.138             15410.2             22601.9             -1.08082            
2670                2.28016             22055               148.506             14624               22216.1             -0.882949           
2671                2.28632             21685               147.255             13855.2             21815.5             -1.55586            
2672                2.29249             21175               145.513             13105.6             21402.2             -1.1234             
2673                2.29865             20814               144.267             12376.8             20976.6             -0.329055           
2674                2.30481             20494               143.154             11670               20541.3             0.00845618          
2675                2.31098             20098               141.764             10986.5             20096.8             -1.36651            
2676                2.31714             19454               139.474             10327.2             19645.3             0.792912            
2677                2.3233              19298               138.914             9692.92             19188.2             -2.82665            
2678                2.32946             18342               135.429             9084.2              18726.2             -0.846116           
2679                2.33563             18147               134.707             8501.49             18261.4             -0.0613958          
2680                2.34179             17786               133.36              7945.02             17794.2             0.809622            
2681                2.34795             17433               132.03              7414.89             17326.5             -1.12637            
2682                2.35411             16713               129.275             6911.06             16859.2             -0.954469           
2683                2.36028             16271               127.554             6433.34             16393.2             0.8789              
2684                2.36644             16041               126.649             5981.41             15930.1             -1.20741            
2685                2.3726              15320               123.77              5554.85             15470.1             -0.966837           
2686                2.37876             14896               122.045             5153.15             15014.5             -1.59372            
2687                2.38493             14372               119.879             4775.69             14563.9             -1.61294            
2688                2.39109             13928               118.013             4421.78             14119.2             -0.274625           
2689                2.39725             13649               116.825             4090.66             13681.2             -1.0441             
2690                2.40341             13130               114.582             3781.53             13250.2             0.548975            
2691                2.40958             12889               113.525             3493.53             12826.9             0.26343             
2692                2.41574             12441               111.535             3225.76             12411.7             -1.36383            
2693                2.4219              11856               108.881             2977.31             12005.2             1.45788             
2694                2.42806             11765               108.462             2747.24             11607.6             -0.482065           
2695                2.43423             11168               105.674             2534.61             11219.2             1.00485             
2696                2.44039             10945               104.614             2338.47             10840.4             0.224078            
2697                2.44655             10494               102.435             2157.88             10471.2             0.917207            
2698                2.45271             10204               101.01              1991.91             10111.8             -0.316714           
2699                2.45888             9731                98.6408             1839.65             9762.4              -0.194789           
2700                2.46504             9404                96.9691             1700.21             9422.99             -0.61376            
2701                2.4712              9035                95.0474             1572.71             9093.65             -0.942383           
2702                2.47737             8686                93.1933             1456.32             8774.3              -2.49757            
2703                2.48353             8237                90.7524             1350.24             8464.93             0.361072            
2704                2.48969             8198                90.5373             1253.68             8165.49             -0.627681           
2705                2.49585             7820                88.4251             1165.91             7875.82             -0.10113            
2706                2.50202             7587                87.0976             1086.22             7595.86             1.57868             
2707                2.50818             7461                86.3713             1013.96             7325.43             1.26724             
2708                2.51434             7171                84.6759             948.486             7064.32             0.577375            
2709                2.5205              6860                82.8191             889.22              6812.47             1.22515             
2710                2.52667             6669                81.6578             835.606             6569.56             0.27129             
2711                2.53283             6357                79.7245             787.128             6335.51             1.76975             
2712                2.53899             6249                79.0443             743.306             6109.98             0.199654            
2713                2.54515             5908                76.857              703.695             5892.75             0.628712            
2714                2.55132             5731                75.6968             667.884             5683.72             -0.802511           
2715                2.55748             5423                73.6342             635.494             5482.5              3.23612             
2716                2.56364             5528                74.3438             606.177             5289.01             -0.26277            
2717                2.5698              5084                71.2952             579.612             5102.87             2.03847             
2718                2.57597             5068                71.1829             555.51              4923.9              1.70488             
2719                2.58213             4870                69.7782             533.604             4751.87             -0.212279           
2720                2.58829             4572                67.6092             513.653             4586.46             1.78405             
2721                2.59445             4547                67.424              495.44              4427.59             0.996016            
2722                2.60062             4340                65.8711             478.767             4274.88             1.05449             
2723                2.60678             4196                64.7688             463.458             4128.22             1.82056             
2724                2.61294             4103                64.0469             449.352             3987.29             2.04762             
2725                2.6191              3980                63.0793             436.308             3851.84             1.56948             
2726                2.62527             3818                61.7819             424.198             3721.8              1.21785             
2727                2.63143             3670                60.5723             412.91              3596.83             1.48904             
2728                2.63759             3565                59.6992             402.342             3476.83             0.320534            
2729                2.64376             3380                58.1292             392.407             3361.52             1.83282             
2730                2.64992             3356                57.9224             383.025             3250.74             -0.520528           
2731                2.65608             3115                55.8032             374.128             3144.31             2.53901             
2732                2.66224             3184                56.4181             365.655             3042                1.49105             
2733                2.66841             3025                54.9909             357.553             2943.73             0.0329058           
